Abgabenbescheid / Zoll;Abgabenbescheid / EUSt;Abgabenbescheid / Gesamtabgabe;Abgabenbescheid / Datum Erstellung
0,00;0,00;0,00;22.02.2024
0,00;6798,20;6798,20;22.02.2024
0,00;4271,20;4271,20;22.02.2024
0,00;18,43;18,43;22.02.2024
30,87;2057,01;2087,88;22.02.2024
0,00;3,80;3,80;22.02.2024
0,00;130,85;130,85;22.02.2024
0,00;1,42;1,42;22.02.2024
0,00;3,05;3,05;21.02.2024
0,00;28,50;28,50;21.02.2024
0,00;3,86;3,86;21.02.2024
0,00;3,86;3,86;21.02.2024
0,00;3,86;3,86;21.02.2024
0,00;3,86;3,86;21.02.2024
0,00;1476,68;1476,68;21.02.2024
0,00;3,05;3,05;21.02.2024
0,00;3,42;3,42;21.02.2024
0,00;6,65;6,65;21.02.2024
0,00;3,86;3,86;21.02.2024
0,00;4,87;4,87;21.02.2024
0,00;3,05;3,05;21.02.2024
0,00;3,05;3,05;21.02.2024
0,00;3,05;3,05;21.02.2024
0,00;3,05;3,05;21.02.2024
0,00;3,05;3,05;21.02.2024
0,00;3,05;3,05;21.02.2024
0,00;3,05;3,05;21.02.2024
0,00;3,05;3,05;21.02.2024
0,00;3,05;3,05;21.02.2024
0,00;3,04;3,04;21.02.2024
0,00;2,06;2,06;21.02.2024
0,00;1,12;1,12;21.02.2024
0,00;42,79;42,79;21.02.2024
0,00;1465,92;1465,92;21.02.2024
0,00;3,05;3,05;21.02.2024
0,00;3,05;3,05;21.02.2024
0,00;3,05;3,05;21.02.2024
0,00;3,05;3,05;21.02.2024
0,00;3,05;3,05;21.02.2024
0,00;1,12;1,12;21.02.2024
0,00;1,12;1,12;21.02.2024
0,00;1,12;1,12;21.02.2024
0,00;1,12;1,12;21.02.2024
0,00;1,11;1,11;21.02.2024
0,00;1,12;1,12;21.02.2024
0,00;1,12;1,12;21.02.2024
0,00;1,12;1,12;21.02.2024
0,00;1,12;1,12;21.02.2024
0,00;4,87;4,87;21.02.2024
0,00;3,38;3,38;21.02.2024
0,00;6,48;6,48;21.02.2024
0,00;1,42;1,42;21.02.2024
0,00;3,46;3,46;21.02.2024
0,00;4,75;4,75;21.02.2024
0,00;4,75;4,75;21.02.2024
0,00;63,39;63,39;21.02.2024
0,00;4,75;4,75;21.02.2024
0,00;3,05;3,05;21.02.2024
0,00;1105,66;1105,66;21.02.2024
0,00;1,58;1,58;21.02.2024
0,00;4,75;4,75;21.02.2024
0,00;339,34;339,34;21.02.2024
0,00;636,06;636,06;21.02.2024
0,00;88,67;88,67;21.02.2024
1,44;324,39;325,83;21.02.2024
0,00;28,50;28,50;21.02.2024
0,00;5802,30;5802,30;21.02.2024
0,00;3,86;3,86;21.02.2024
0,00;0,00;0,00;21.02.2024
0,00;3,86;3,86;21.02.2024
0,00;3,86;3,86;21.02.2024
24,01;388,07;412,08;21.02.2024
0,00;59,36;59,36;21.02.2024
10,36;32,24;42,60;21.02.2024
0,00;3,73;3,73;21.02.2024
0,00;3,80;3,80;21.02.2024
0,00;1314,59;1314,59;21.02.2024
0,00;4,87;4,87;21.02.2024
0,00;4,87;4,87;21.02.2024
0,00;43,21;43,21;21.02.2024
0,00;0,00;0,00;21.02.2024
0,00;4,52;5,83;21.02.2024
0,00;3,80;3,80;21.02.2024
0,00;6,59;6,59;21.02.2024
0,00;110,47;110,47;21.02.2024
0,00;152,00;152,00;21.02.2024
0,00;18,43;18,43;21.02.2024
0,00;4,87;4,87;21.02.2024
0,00;3,80;3,80;21.02.2024
0,00;3,99;3,99;21.02.2024
0,00;3,05;3,05;21.02.2024
0,00;0,00;0,00;21.02.2024
0,00;4664,56;4664,56;21.02.2024
0,00;0,00;0,00;21.02.2024
0,00;0,00;0,00;21.02.2024
0,00;0,00;0,00;21.02.2024
0,00;23,03;23,03;20.02.2024
0,00;28,50;28,50;20.02.2024
0,00;4,87;4,87;20.02.2024
0,00;1968,49;1968,49;20.02.2024
1,99;67,63;69,62;20.02.2024
0,00;321,67;321,67;20.02.2024
0,00;0,95;0,95;20.02.2024
0,00;544,87;544,87;20.02.2024
0,00;6,43;6,43;20.02.2024
0,00;95,00;95,00;20.02.2024
0,00;3,86;3,86;20.02.2024
0,00;3,86;3,86;20.02.2024
0,00;3,86;3,86;20.02.2024
0,00;3,86;3,86;20.02.2024
0,00;3334,69;3334,69;20.02.2024
0,00;5,32;5,32;20.02.2024
0,00;666,15;666,15;20.02.2024
0,00;3,05;3,05;20.02.2024
0,00;3,05;3,05;20.02.2024
0,00;3,05;3,05;20.02.2024
0,00;3,05;3,05;20.02.2024
0,00;3,05;3,05;20.02.2024
0,00;3,05;3,05;20.02.2024
0,00;3,05;3,05;20.02.2024
0,00;3,05;3,05;20.02.2024
0,00;3,05;3,05;20.02.2024
0,00;3,05;3,05;20.02.2024
0,00;3,05;3,05;20.02.2024
0,00;3,05;3,05;20.02.2024
0,00;3,05;3,05;20.02.2024
0,00;3,80;3,80;20.02.2024
0,00;3,05;3,05;20.02.2024
0,00;4,87;4,87;20.02.2024
0,00;4,87;4,87;20.02.2024
0,00;5,88;5,88;20.02.2024
0,00;213,75;213,75;20.02.2024
0,00;1,12;1,12;20.02.2024
0,00;1,12;1,12;20.02.2024
0,00;1,12;1,12;20.02.2024
0,00;1,12;1,12;20.02.2024
0,00;1,12;1,12;20.02.2024
0,00;1,09;1,09;20.02.2024
0,00;3,05;3,05;20.02.2024
0,00;30,69;30,69;20.02.2024
0,00;763,23;763,23;20.02.2024
0,00;3,05;3,05;20.02.2024
0,00;3,05;3,05;20.02.2024
0,00;3,05;3,05;20.02.2024
0,00;3,05;3,05;20.02.2024
0,00;5,68;5,68;20.02.2024
147,75;688,20;835,95;20.02.2024
0,00;6,89;6,89;20.02.2024
0,00;58,94;58,94;20.02.2024
0,00;754,06;754,06;20.02.2024
0,00;59,32;59,32;20.02.2024
0,00;268,80;268,80;20.02.2024
34,50;193,86;228,36;20.02.2024
0,00;3,86;3,86;20.02.2024
0,00;4,75;4,75;20.02.2024
17,73;73,55;91,28;20.02.2024
0,00;43,21;43,21;20.02.2024
2,77;8,62;11,39;20.02.2024
0,00;3,05;3,05;20.02.2024
22,12;144,28;166,40;20.02.2024
0,00;7,89;7,89;20.02.2024
0,00;3,86;3,86;20.02.2024
0,00;3,86;3,86;20.02.2024
0,00;665,00;665,00;20.02.2024
0,00;663,48;663,48;20.02.2024
0,00;1657,66;1657,66;20.02.2024
0,00;276,03;276,03;20.02.2024
0,00;602,00;602,00;20.02.2024
0,00;2,85;2,85;20.02.2024
0,00;4,87;4,87;20.02.2024
0,00;103,75;103,75;20.02.2024
0,00;6,65;6,65;20.02.2024
0,00;1950,14;1950,14;20.02.2024
0,00;2283,35;2283,35;20.02.2024
0,00;2,87;2,87;20.02.2024
0,00;0,00;0,00;20.02.2024
0,00;3,04;3,04;20.02.2024
0,00;3,23;3,23;20.02.2024
0,00;180,50;180,50;20.02.2024
0,00;0,00;0,00;20.02.2024
0,00;42,75;42,75;20.02.2024
0,00;3,80;3,80;20.02.2024
0,00;4,75;4,75;20.02.2024
2248,74;13779,13;16027,87;20.02.2024
0,00;48,69;48,69;20.02.2024
0,00;0,00;0,00;20.02.2024
0,00;0,00;0,00;20.02.2024
0,00;3,04;3,04;20.02.2024
119,58;383,36;502,94;20.02.2024
0,00;6,41;6,41;16.02.2024
0,00;28,50;28,50;17.02.2024
0,00;181,62;181,62;16.02.2024
0,00;4510,22;4510,22;16.02.2024
0,00;28,50;28,50;17.02.2024
0,00;3,86;3,86;19.02.2024
0,00;3,86;3,86;19.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;2682,25;2682,25;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;7,46;10,73;19.02.2024
0,00;0,00;0,00;16.02.2024
0,00;72,65;72,65;16.02.2024
0,00;966,46;966,46;19.02.2024
2,10;72,23;74,33;19.02.2024
0,34;2,08;2,42;16.02.2024
0,00;122,21;122,21;16.02.2024
0,00;2563,39;2563,39;19.02.2024
79,32;1536,59;1615,91;19.02.2024
0,00;0,00;0,00;19.02.2024
0,00;3,86;3,86;19.02.2024
0,00;1,12;1,12;19.02.2024
0,00;1,11;1,11;19.02.2024
1,28;1360,61;1361,89;19.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,46;3,46;16.02.2024
0,00;5,47;5,47;16.02.2024
0,00;4,75;4,75;16.02.2024
0,00;3,71;3,71;16.02.2024
0,00;3,86;3,86;19.02.2024
0,00;3,04;3,04;17.02.2024
0,00;3,86;3,86;19.02.2024
0,00;1,37;1,37;16.02.2024
0,00;3,04;3,04;16.02.2024
0,00;2,87;2,87;16.02.2024
37,03;223,48;260,51;17.02.2024
0,00;3,86;3,86;17.02.2024
25,49;408,45;433,94;16.02.2024
0,00;285,86;285,86;17.02.2024
0,00;3,05;3,05;16.02.2024
0,00;4,75;4,75;17.02.2024
0,00;8,90;8,90;16.02.2024
0,00;4,87;4,87;17.02.2024
0,00;4,87;4,87;17.02.2024
0,00;4,87;4,87;17.02.2024
0,00;816,88;816,88;17.02.2024
0,00;3,02;3,02;17.02.2024
0,00;516,60;516,60;17.02.2024
0,00;5,75;10,99;16.02.2024
0,00;0,00;0,00;17.02.2024
26,06;188,30;214,36;19.02.2024
25,24;124,69;149,93;16.02.2024
0,00;38,00;38,00;20.02.2024
0,00;28,50;28,50;16.02.2024
0,00;4,86;4,86;16.02.2024
0,00;3,86;3,86;16.02.2024
0,00;2309,76;2309,76;16.02.2024
0,00;5,56;5,56;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;19094,81;19094,81;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
1,45;220,60;222,05;16.02.2024
0,00;3,04;3,04;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;722,00;722,00;16.02.2024
0,00;1,12;1,12;16.02.2024
0,00;1,09;1,09;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;480,51;480,51;16.02.2024
0,00;1,92;1,92;16.02.2024
0,00;4,75;4,75;16.02.2024
0,00;308,23;308,23;16.02.2024
