Abgabe,Date
4111.944285714286,2019-09-25
3896.7699999999995,2019-09-26
2144.2899999999995,2019-09-27
3356.5728571428567,2019-10-01
3368.7357142857136,2019-10-02
3272.137142857143,2019-10-04
2099.1599999999994,2019-10-05
2379.419999999999,2019-10-09
2398.557142857142,2019-10-10
2861.134285714285,2019-10-11
2686.587142857142,2019-10-14
2518.871428571428,2019-10-16
2600.192857142857,2019-10-17
2547.5428571428565,2019-10-18
2396.631428571428,2019-10-23
2585.501428571428,2019-10-24
2140.3899999999994,2019-10-25
2397.657142857142,2019-10-28
2432.497142857142,2019-10-29
2262.6828571428564,2019-10-30
2261.248571428571,2019-11-01
3502.9871428571423,2019-11-04
3827.831428571428,2019-11-05
3774.345714285714,2019-11-06
2482.5528571428563,2019-11-07
2625.337142857142,2019-11-08
2453.7157142857136,2019-11-12
