Date,Abgabe
2018-01-03,0.0
2018-01-04,0.0
2018-01-05,0.0
2018-01-06,0.0
2018-01-07,0.0
2018-01-08,0.0
2018-01-09,7552.799999999999
2018-01-10,261.3
2018-01-11,834.72
2018-01-12,0.0
2018-01-13,0.0
2018-01-14,0.0
2018-01-15,442.36
2018-01-16,900.97
2018-01-17,0.0
2018-01-18,0.0
2018-01-19,0.0
2018-01-20,0.0
2018-01-21,0.0
2018-01-22,1546.0
2018-01-23,0.0
2018-01-24,0.0
2018-01-25,289.8
2018-01-26,0.0
2018-01-27,0.0
2018-01-28,0.0
2018-01-29,807.36
2018-01-30,0.0
2018-01-31,0.0
2018-02-01,0.0
2018-02-02,0.0
2018-02-03,533.87
2018-02-04,0.0
2018-02-05,0.0
2018-02-06,910.74
2018-02-07,0.0
2018-02-08,0.0
2018-02-09,0.0
2018-02-10,0.0
2018-02-11,0.0
2018-02-12,0.0
2018-02-13,0.0
2018-02-14,0.0
2018-02-15,0.0
2018-02-16,0.0
2018-02-17,0.0
2018-02-18,0.0
2018-02-19,1292.59
2018-02-20,1057.69
2018-02-21,0.0
2018-02-22,460.05
2018-02-23,0.0
2018-02-24,0.0
2018-02-25,0.0
2018-02-26,0.0
2018-02-27,0.0
2018-02-28,1746.59
2018-03-01,0.0
2018-03-02,1095.09
2018-03-03,0.0
2018-03-04,0.0
2018-03-05,2240.96
2018-03-06,3905.99
2018-03-07,1762.14
2018-03-08,0.0
2018-03-09,0.0
2018-03-10,0.0
2018-03-11,0.0
2018-03-12,0.0
2018-03-13,1633.83
2018-03-14,1201.83
2018-03-15,0.0
2018-03-16,0.0
2018-03-17,0.0
2018-03-18,0.0
2018-03-19,4613.67
2018-03-20,0.0
2018-03-21,0.0
2018-03-22,689.0
2018-03-23,5077.75
2018-03-24,0.0
2018-03-25,0.0
2018-03-26,1922.3
2018-03-27,6733.27
2018-03-28,1121.06
2018-03-29,0.0
2018-03-30,0.0
2018-03-31,0.0
2018-04-01,0.0
2018-04-02,0.0
2018-04-03,1724.97
2018-04-04,0.0
2018-04-05,0.0
2018-04-06,2518.66
2018-04-07,0.0
2018-04-08,0.0
2018-04-09,1427.78
2018-04-10,2954.01
2018-04-11,718.81
2018-04-12,0.0
2018-04-13,0.0
2018-04-14,0.0
2018-04-15,0.0
2018-04-16,0.0
2018-04-17,0.0
2018-04-18,0.0
2018-04-19,0.0
2018-04-20,0.0
2018-04-21,0.0
2018-04-22,0.0
2018-04-23,3160.3500000000004
2018-04-24,0.0
2018-04-25,0.0
2018-04-26,0.0
2018-04-27,0.0
2018-04-28,0.0
2018-04-29,0.0
2018-04-30,1069.11
2018-05-01,0.0
2018-05-02,0.0
2018-05-03,0.0
2018-05-04,0.0
2018-05-05,0.0
2018-05-06,0.0
2018-05-07,0.0
2018-05-08,979.69
2018-05-09,0.0
2018-05-10,0.0
2018-05-11,0.0
2018-05-12,0.0
2018-05-13,0.0
2018-05-14,5306.0
2018-05-15,0.0
2018-05-16,0.0
2018-05-17,0.0
2018-05-18,0.0
2018-05-19,0.0
2018-05-20,0.0
2018-05-21,0.0
2018-05-22,1670.04
2018-05-23,787.05
2018-05-24,0.0
2018-05-25,0.0
2018-05-26,0.0
2018-05-27,0.0
2018-05-28,534.27
2018-05-29,2875.1400000000003
2018-05-30,2568.02
2018-05-31,0.0
2018-06-01,0.0
2018-06-02,0.0
2018-06-03,0.0
2018-06-04,0.0
2018-06-05,0.0
2018-06-06,572.93
2018-06-07,711.55
2018-06-08,0.0
2018-06-09,0.0
2018-06-10,0.0
2018-06-11,718.1
2018-06-12,1008.47
2018-06-13,4615.15
2018-06-14,531.46
2018-06-15,624.48
2018-06-16,0.0
2018-06-17,0.0
2018-06-18,1515.07
2018-06-19,879.7
2018-06-20,0.0
2018-06-21,0.0
2018-06-22,0.0
2018-06-23,0.0
2018-06-24,0.0
2018-06-25,0.0
2018-06-26,1688.15
2018-06-27,7235.12
2018-06-28,0.0
2018-06-29,0.0
2018-06-30,0.0
2018-07-01,0.0
